REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,variable,nulos,nacimientos,pct_nulos
14,De Los Ríos,GRUPO_ETARIO_MADRE,0,14736,0.0
14,De Los Ríos,EST_CIV_MADRE,0,14736,0.0
14,De Los Ríos,CURSO_MADRE,0,14736,0.0
14,De Los Ríos,NIVEL_MADRE,0,14736,0.0
14,De Los Ríos,ACTIV_MADRE,0,14736,0.0
14,De Los Ríos,OCUPA_MADRE,0,14736,0.0
14,De Los Ríos,CATEG_MADRE,0,14736,0.0
14,De Los Ríos,NACIONALIDAD_MADRE,0,14736,0.0
15,De Arica y Parinacota,MES_NAC,0,11107,0.0
15,De Arica y Parinacota,ANO_NAC,0,11107,0.0
15,De Arica y Parinacota,SEXO,0,11107,0.0
15,De Arica y Parinacota,TIPO_PARTO,0,11107,0.0
15,De Arica y Parinacota,TIPO_ATEN,0,11107,0.0
15,De Arica y Parinacota,PARTO_LOCAL,0,11107,0.0
15,De Arica y Parinacota,SEMANAS,5,11107,0.04501665616278023
15,De Arica y Parinacota,RANGO_PESO,0,11107,0.0
15,De Arica y Parinacota,TALLA,5,11107,0.04501665616278023
15,De Arica y Parinacota,GRUPO_ETARIO_PADRE,0,11107,0.0
15,De Arica y Parinacota,CURSO_PADRE,0,11107,0.0
15,De Arica y Parinacota,NIVEL_PADRE,1204,11107,10.84001080399748
15,De Arica y Parinacota,ACTIV_PADRE,1418,11107,12.766723687764474
15,De Arica y Parinacota,OCUPA_PADRE,0,11107,0.0
15,De Arica y Parinacota,CATEG_PADRE,0,11107,0.0
15,De Arica y Parinacota,GRUPO_ETARIO_MADRE,0,11107,0.0
15,De Arica y Parinacota,EST_CIV_MADRE,0,11107,0.0
15,De Arica y Parinacota,CURSO_MADRE,0,11107,0.0
15,De Arica y Parinacota,NIVEL_MADRE,0,11107,0.0
15,De Arica y Parinacota,ACTIV_MADRE,0,11107,0.0
15,De Arica y Parinacota,OCUPA_MADRE,0,11107,0.0
15,De Arica y Parinacota,CATEG_MADRE,0,11107,0.0
15,De Arica y Parinacota,NACIONALIDAD_MADRE,0,11107,0.0
16,De Ñuble,MES_NAC,0,18936,0.0
16,De Ñuble,ANO_NAC,0,18936,0.0
16,De Ñuble,SEXO,0,18936,0.0
16,De Ñuble,TIPO_PARTO,0,18936,0.0
16,De Ñuble,TIPO_ATEN,0,18936,0.0
16,De Ñuble,PARTO_LOCAL,0,18936,0.0
16,De Ñuble,SEMANAS,17,18936,0.08977608787494719
16,De Ñuble,RANGO_PESO,0,18936,0.0
16,De Ñuble,TALLA,17,18936,0.08977608787494719
16,De Ñuble,GRUPO_ETARIO_PADRE,0,18936,0.0
16,De Ñuble,CURSO_PADRE,0,18936,0.0
16,De Ñuble,NIVEL_PADRE,1147,18936,6.057245458386142
16,De Ñuble,ACTIV_PADRE,1408,18936,7.435572454583862
16,De Ñuble,OCUPA_PADRE,0,18936,0.0
16,De Ñuble,CATEG_PADRE,0,18936,0.0
16,De Ñuble,GRUPO_ETARIO_MADRE,0,18936,0.0
16,De Ñuble,EST_CIV_MADRE,0,18936,0.0
16,De Ñuble,CURSO_MADRE,0,18936,0.0
16,De Ñuble,NIVEL_MADRE,0,18936,0.0
16,De Ñuble,ACTIV_MADRE,0,18936,0.0
16,De Ñuble,OCUPA_MADRE,0,18936,0.0
16,De Ñuble,CATEG_MADRE,0,18936,0.0
16,De Ñuble,NACIONALIDAD_MADRE,0,18936,0.0
